Fleet No,Operational Status,LFB ,Make,Model,Type of Vehicle,Vehicle Category,Reg Year,Vehicle Life
FRU41,PENDING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
FRU42,PENDING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
FRU43,PENDING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
FRU44,PENDING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
GPV22-H,PENDING,LFB,Mercedes,Sprinter 416,GP Van,N2,2018,7
GPV23-H,ACTIVE,LFB,Mercedes,Sprinter 416,GP Van,N2,2018,7
HDU1,ACTIVE,LFB,Mercedes,Actros Rigid 2541L,Heavy Distribution Unit,N3,2010,12
HLU1,ACTIVE,LFB,Mercedes Benz,Atego,Hose Layer,N3,2010,12
HLU2,ACTIVE,LFB,Mercedes Benz,Atego,Hose Layer,N3,2010,12
HLU3,ACTIVE,LFB,Mercedes Benz,Atego,Hose Layer,N3,2010,12
HLU4,ACTIVE,LFB,Mercedes Benz,Atego,Hose Layer,N3,2010,12
HLU5,RESERVE,LFB,Mercedes Benz,Atego,Hose Layer,N3,2011,12
LRL1,ACTIVE,LFB,Mercedes,Atego 1218 HSL,London Resilience Lorry,N2,2004,12
LRL2,ACTIVE,LFB,Mercedes,Atego 1218 HSL,London Resilience Lorry,N2,2004,12
LRL7,SUPPORT,LFB,Mercedes,Atego 1218 HSL,London Resilience Lorry,N2,2004,12
MV01T,ACTIVE,LFB,Citroen,Relay 35 L3H3 Blue HDI,Panel Van,N1,2017,7
MV02T,TRAINING,LFB,Citroen,Relay 35 L3H3 Blue HDI,Panel Van,N1,2017,7
MV03T,TRAINING,LFB,Citroen,Relay 35 L3H3 Blue HDI,Panel Van,N1,2017,7
MV04T,ACTIVE,LFB,Fiat,Ducato 35 MH2 2.3 16V Multijet 11 150 BHP,Panel Van,N1,2018,7
MV05T,TRAINING,LFB,Citroen,Relay 35 L3H3 Blue HDI,Panel Van,N1,2018,7
MV06,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2019,7
MV07T,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2020,7
MV08T,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2020,7
MV09T,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2020,7
MV10T,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2020,7
MV11T,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2020,7
MV12T,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2020,7
MV13T,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2020,7
MV14T,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2020,7
MV15T,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2020,7
MV18,ACTIVE,LFB,MAN,TGE 3.140 ,Panel Van,N1,2019,7
MV19,ACTIVE,LFB,MAN,TGE 3.140 ,Panel Van,N1,2019,7
MV20,ACTIVE,LFB,MAN,TGE 3.140 ,Panel Van,N1,2019,7
MV21,ACTIVE,LFB,MAN,TGE 3.140 ,Panel Van,N1,2019,7
MV22,ACTIVE,LFB,Ford,Transit Custom 300,LCV,N1,2020,7
MV23,ACTIVE,LFB,Ford,Transit Custom 300,LCV,N1,2020,7
MV24,ACTIVE,LFB,Ford,Transit Custom 300,LCV,N1,2020,7
MV25,ACTIVE,LFB,Ford,Transit Custom 300,LCV,N1,2020,7
MV26,ACTIVE,LFB,Mercedes Benz,114 LWB VITO,Panel Van,N1,2019,7
MV27,ACTIVE,LFB,Mercedes Benz,114 LWB VITO,Panel Van,N1,2019,7
MV28,ACTIVE,LFB,Mercedes Benz,114 LWB VITO,Panel Van,N1,2019,7
MV29,ACTIVE,LFB,MAN,TGE 3.140 ,Panel Van,N1,2021,6
OSU1,RESERVE,LFB,Mercedes,Atego 1223,Operational Support Unit,N2,2007,12
OSU2,ACTIVE,LFB,Mercedes,Atego 1223,Operational Support Unit,N2,2007,12
OSU3,ACTIVE,LFB,Mercedes,Atego 1223,Operational Support Unit,N2,2007,12
OSU4,ACTIVE,LFB,Mercedes,Atego 1223,Operational Support Unit,N2,2007,12
OSU5,ACTIVE,LFB,Mercedes,Atego 1223,Operational Support Unit,N2,2007,12
OSU6,ACTIVE,LFB,Mercedes,Atego 1224,Operational Support Unit,N2,2007,12
OSU7,ACTIVE,LFB,Mercedes,Atego 1224,Operational Support Unit,N2,2007,12
TL01E,ACTIVE,LFB,Scania,P 410 B8x4*4NB,64m Turntable Ladder,N3,2020,15
TL02E,TRAINING,LFB,Scania,P 410 B8x4*4NB,64m Turntable Ladder,N3,2020,15
TL03E,TRAINING,LFB,Scania,P 410 B8x4*4NB,64m Turntable Ladder,N3,2021,15
TL51,RESERVE,LFB,Daimler,Econic,Turntable Ladder,N3,2007,15
TL54,ACTIVE,LFB,Mercedes,Econic,Turntable Ladder,N3,2007,15
TL55A,ACTIVE,LFB,Scania,L360 Turntable Ladder,Turntable Ladder,N3,2020,15
TL56A,ACTIVE,LFB,Scania,L360 Turntable Ladder,Turntable Ladder,N3,2020,15
TL57A,RESERVE,LFB,Scania,L360 Turntable Ladder,Turntable Ladder,N3,2020,15
TL58A,RESERVE,LFB,Scania,L360 Turntable Ladder,Turntable Ladder,N3,2020,15
TL59A,RESERVE,LFB,Scania,L360 Turntable ,Turntable Ladder,N3,2020,15
TL60A,ACTIVE,LFB,Scania,L360 Turntable ,Turntable Ladder,N3,2020,15
TL61A,ACTIVE,LFB,Scania,L360 Turntable ,Turntable Ladder,N3,2020,15
TL62A,ACTIVE,LFB,Scania,L360 Turntable ,Turntable Ladder,N3,2020,15
TL63A,ACTIVE,LFB,Scania,L360 Turntable ,Turntable Ladder,N3,2020,15
TL64A,ACTIVE,LFB,Scania,L360 Turntable ,Turntable Ladder,N3,2020,15
TL65A,ACTIVE,LFB,Scania,L360 Turntable ,Turntable Ladder,N3,2020,15
TL66A,ACTIVE,LFB,Scania,L360 Turntable ,Turntable Ladder,N3,2020,15
UV01,ACTIVE,LFB,Ford,Transit Connect,Panel Van,N1,2017,7
UV02,ACTIVE,LFB,Ford,Transit Connect 230,Panel Van,N1,2019,7
UV03,ACTIVE,LFB,Ford,Transit Connect 230,Panel Van,N1,2019,7
UV04,ACTIVE,LFB,Ford,Transit Connect 230,Panel Van,N1,2019,7
UV05,ACTIVE,LFB,Ford,Transit Connect 230,Panel Van,N1,2019,7
UV06,ACTIVE,LFB,Ford,Transit Connect 230,Panel Van,N1,2019,7
UV07,ACTIVE,LFB,Ford,Transit Connect 230,Panel Van,N1,2019,7
UVL01-4,ACTIVE,LFB,MAN,TGE 4.180,Panel Van,N2,2019,7
UVL02-4 ,ACTIVE,LFB,MAN,TGE 4.180,Panel Van,N2,2019,7
UVL03-4,ACTIVE,LFB,MAN,TGE 4.180,Panel Van,N2,2019,7
UVL04-4,ACTIVE,LFB,MAN,TGE 4.180 Panel Van 4 x 4,LCV,N2,2020,7
UVL05-4,ACTIVE,LFB,MAN,TGE 4.180 Panel Van 4 x 4,LCV,N2,2020,7
UVL06-4,ACTIVE,LFB,MAN,TGE 4.180 Panel Van 4 x 4,LCV,N2,2020,7
UVL07-4,ACTIVE,LFB,MAN,TGE 4.180 Panel Van 4 x 4,LCV,N2,2020,7
UVL08-4,ACTIVE,LFB,MAN,TGE 4.180 Panel Van 4 x 4,LCV,N2,2020,7
UVM01,ACTIVE,LFB,Mercedes,Vito (Marked Red) 114 Bluetec Tourer Select,Minibus,M1,2019,7
UVM02,ACTIVE,LFB,Mercedes,Vito (Unmarked Silver) 114 Bluetec Tourer Select,Minibus  (Medium Sized Utility) ,M1,2019,7
UVM03,TRAINING,LFB,MAN,Vito (Unmarked Silver) 114 Bluetec Tourer Select,Panel Van,N1,2019,7
UVM04,TRAINING,LFB,MAN,TGE 3.180 Panel Van,LCV,N1,2019,7
UVM05,ACTIVE,LFB,MAN,TGE 3.140 Panel Van,LCV,N1,2019,7
UVM06,ACTIVE,LFB,MAN,TGE 3.140 Panel Van,LCV,N1,2019,7
UVM07,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2019,7
UVM08,ACTIVE,LFB,MAN,TGE 3.181,Panel Van,N1,2019,7
UVM09,ACTIVE,LFB,MAN,TGE 3.180 ,Panel Van,N1,2019,7
V336,TRAINING,LFB,Ford,Transit Connect Trend,Panel Van,N1,2017,7
V337,TRAINING,LFB,Ford,Transit Connect Trend,Panel Van,N1,2017,7
